ID,Lemma,POS,Synset_ID,Synset_Lemma,Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
BG1677,Коза ностра,noun,[no_synset],[no_synset_lemma],"Сицилианската престъпна организация, мафията",,"[България като Коза ностра: клановете се хващат за гушите.;Коза Ностра не зная дали ще се регистрира, но Г-н Черепа вече се регистрира, което е горе-долу едно и също!;Димитър Колев (негов бивш депутат и бивш областен управител на Перник, който напусна РЗС и започна да приглася на мнозинството в гласуванията в парламента) е от кръга ""Котараците"", а те са пернишката Коза Ностра.]",re,,,,,,,,
BG155,абдал,noun,Synset('btbwn-018002282-n'),"['дурак', 'дурачка', 'папуняк', 'глупак', 'глупачка', 'тъпак', 'тъпанарка', 'тъпанар', 'тъпачка', 'кретен', 'идиот', 'идиотка', 'глупец', 'балама', 'балък', 'будала', 'бунак', 'галош', 'галфон', 'гламчо', 'баламурник', 'ахмак', 'гъска', 'дебил', 'дръвник', 'олигофрен', 'патка', 'пън', 'рапон', 'ръб', 'серсем', 'серсемин', 'тапир', 'теле', 'тиква', 'тиквеник', 'тъпунгер', 'хайван', 'хайванин', 'хапльо', 'чвор', 'чукундур', 'юрод', 'кютук', 'ампе', 'абдалин', 'абдал']",Човек с ограничени умствени способности.,,"[То и в цепенето си има чалъми де, че ако биеш като абдал, днеска може пет дръжки да строшиш.;Самият Първанов, удобно дистанциран още от самото учредяване, прецени липсата на перспектива и гузно замълча по въпроса, а повярвалите му абдали го последваха в това му мълчание.;Абе, абдали, защо направо-неправо не поканите престъпника от Банкя за доброволец?]",qas,,,noun.person,,,,,
BG155,абдал,noun,Synset('btbwn-018002282-n'),"['дурак', 'дурачка', 'папуняк', 'глупак', 'глупачка', 'тъпак', 'тъпанарка', 'тъпанар', 'тъпачка', 'кретен', 'идиот', 'идиотка', 'глупец', 'балама', 'балък', 'будала', 'бунак', 'галош', 'галфон', 'гламчо', 'баламурник', 'ахмак', 'гъска', 'дебил', 'дръвник', 'олигофрен', 'патка', 'пън', 'рапон', 'ръб', 'серсем', 'серсемин', 'тапир', 'теле', 'тиква', 'тиквеник', 'тъпунгер', 'хайван', 'хайванин', 'хапльо', 'чвор', 'чукундур', 'юрод', 'кютук', 'ампе', 'абдалин', 'абдал']",Човек с ограничени умствени способности.,,"[Я виж там онзи абдал какво иска.;Целият свят иска да краде от България, защото тук има много абдали.;Но какво имат вместо мозък тия абдали, които са путинофили до мозъка на костите си, които не забелязват, че Радев се превърна в слуга на Херо Мустафа и Джо Байдън, хариза държавата на краварите, понеже са му обещали втори мандат, а козируват на натовския генерал?]",cds,,,noun.person,,,,,
BG99,агресивен,adj,Synset('btbwn-000000072-a'),"['агресивен', 'нападателен', 'враждебен']","Който е изпълнен с вражда, ненавист, агресия и показва решителност и енергичност при осъществяването на нещо.",,"[Почеркът й бе съвършен, направо като от учебник. Издължен и изящно оформен. На следващия ред беше написала: „Уекслър е сводник и е извратено агресивно копеле“.;Другият има вид на агресивен психопат, тип Хитлер.;Ако си нелюбезен, агресивен идиот, в обществото също ще си говориш сам.]",ddp,,,adj.all,,,,,
BG242,адвокат,noun,Synset('btbwn-018002774-n'),"['адвокат', 'адвокатка']","Прен. Човек, който защитава някого, явява се в защита на някого.",,"[Ти защо толкова се месиш в ситуацията? На адвокат ли се правиш?;За адвокат на жена ми ли се мислиш? Аз я защитавам, а не някакъв си измислен герой от работата й.]",pa,,,noun.person,,,,,
BG1804,акула,noun,[no_synset],[no_synset_lemma],"Прен. Алчен, ненаситен, безогледен човек.",,"[Затова и апетитът на големите политически акули към това министерство бе твърде притъпен.;Е, така и не успях да стана корпоративна акула, опитвам се да се държа справедливо и честно с колегите си.;Виж в бета, че Чаушеску преди да го убият ""финансовите"" акули , беше изплатил външния дълг на Румъния до последния долар!]",an,,,,,,,,
BG222,алчен,adj,Synset('btbwn-000000024-s'),"['алчен', 'сребролюбив', 'лаком', 'ненаситен', 'гладен', 'стръвен', 'жаден']",Който силно се стреми към материални блага.,,"[Тази е готова на всичко за слава и власт, умопобъркана, алчна жена с доста богат опит в ниските страсти.;Падението на един алчен простак! ;С този алчен нещастник си имах работа преди три години.]",qas,,,adj.all,,,,,
BG1103,аматьор,noun,Synset('btbwn-018001634-n'),"['лаик', 'аматьор', 'любител', 'дилетант', 'любителка', 'дилетантка', 'лаичка', 'аматьорка', 'неспециалист', 'неспециалистка', 'непрофесионалист', 'непрофесионалистка']","Лице, което се занимава с изкуство, наука или техника, без да има специална подготовка и при повърхностно познаване на предмета.",,"[Смятай, че ако един шофьор се замисля каква да е скоростта му в цифри, значи е пълен аматьор и пишман шофьор.;В такива ситуации се виждат организаторските качества и си проличава аматьорът и неможещият.;Друг път поглеждаше платното с мисълта: „Аз съм тъп аматьор.“]",qas,,,noun.person,,,,,
BG2027,анормален,adj,Synset('btbwn-000001523-a'),"['противоестествен', 'неестествен', 'нетипичен', 'необичаен', 'ненормален', 'анормален']","Който се различава от нормата, от общоприетото правило.",,"[Трябва наистина да си анормален, че да твърдиш колко руснаци са били убили украинците и да ги подкрепяш, а да не виждаш с тях какво става.;Върху личността на този малко нещо анормален калугер, фанатично предан на сръбската по онова време държавна политика, виж бележката на Панайот Хитов към едно от следващите писма.;Анормалният пубертет предстявлява ненормално развитие и анатомично оформяне на индивида по време на пубертетния период.]",dmc,,,adj.all,,,,,
BG19,апатичен,adj,Synset('btbwn-000001266-s'),"['незаинтересован', 'апатичен', 'безучастен', 'равнодушен', 'безразличен', 'равнодушен', 'индиферентен', 'незаинтересуван', 'индиферентен']","Който не проявява, изразява интерес към някого или нещо.",,"[Дълбоко в душата си вие сте апатичен човек, който трудно успява да се мобилизира и в когото се крият емоционални проблеми.;Апатичен проклетник.;Станал си апатичен към тежкото положение на другите пътници.]",ddp,,,adj.all,,,,,
